"game_id","episode_id","entry_id","event_id","event","prev_event","next_event","shot_count","period","c_seconds","seconds","entry_team","def_team","poss_team","Player","Player_2","same_direction_x","same_direction_y","same_direction_x2","same_direction_y2","detail_1","detail_2","detail_3","detail_4","last_event_b4_faceoff","time_since_entry","offensive_score_diff","offensive_strength_diff","strength_state","score_effect","entry_strength","is_prev_event_pass","last_pass_x","last_pass_y","time_since_last_pass","is_otter","pass_count","time_since_last_shot","entry_time_decay","shot_time_decay","pass_time_decay","before_entry_indicator","is_goal","from_behind_net","angle","pass_angle","angle_change","pass_distance","xG"
1,1,101,7,"Shot","Pass","Recovery",2,1,39,39,"Sudbury Wolves","Erie Otters","Sudbury Wolves","Emmett Serensits",NA,134,70,NA,NA,"Wristshot","Missed",0,0,0,15,0,0,"ES","Close","ES",1,187,77,1,1,0,5,0,0.301029995663981,1,0,0,0,26.565051177078,86.6822188316652,60.1171676545872,53.4602656184946,0.00720947767618641
1,3,303,37,"Shot","Pass","Recovery",1,1,163,163,"Erie Otters","Sudbury Wolves","Erie Otters","Kurtis Henry",NA,131,6,NA,NA,"Snapshot","Missed",1,0,0,25,0,0,"ES","Close","ES",1,184,18,2,1,0,NA,0,0,0.698970004336019,0,0,0,-32.1826317672048,-78.4653793463553,46.2827475791505,54.3415126767741,0.00384599194666849
1,4,401,57,"Shot","Pass","Turnover",1,1,330,330,"Sudbury Wolves","Erie Otters","Sudbury Wolves","Macauley Carson",NA,158,49,NA,NA,"Snapshot","On Net",0,0,0,3,0,0,"ES","Close","ES",1,149,67,0,1,0,NA,0.522878745280338,0,1,0,0,0,11.8420761153278,31.487469364214,19.6453932488862,20.1246117974981,0.0878742049905341
1,4,402,62,"Shot","Pass","Recovery",1,1,340,340,"Erie Otters","Sudbury Wolves","Erie Otters","Brendan Hoffmann",NA,169,52,NA,NA,"Snapshot","Missed",0,0,0,2,0,0,"ES","Close","ES",1,136,36,1,1,0,NA,0.698970004336019,0,1,0,0,0,25.4077181089485,6.99192534666782,18.4157927622807,36.6742416417845,0.0898169460434576
1,7,701,81,"Shot","Pass","Turnover",1,1,465,465,"Sudbury Wolves","Erie Otters","Sudbury Wolves","Giordano Biondi",NA,179,66,NA,NA,"Snapshot","Blocked",0,0,0,12,-1,0,"ES","Close","ES",1,131,81,4,1,0,NA,0,0,0.397940008672038,0,0,0,66.948699083527,33.5759326579989,33.3727664255281,50.2891638427206,0.0134529662160143
1,9,901,96,"Shot","Pass","Turnover",1,1,520,520,"Erie Otters","Sudbury Wolves","Erie Otters","Jack Duff",NA,130,5,NA,NA,"Snapshot","Blocked",1,0,0,8,1,0,"ES","Close","ES",1,182,5,2,1,0,NA,0.0969100130080565,0,0.698970004336019,0,0,0,-32.4397629031544,-79.4264765814391,46.9867136782847,52,0.00376915621939102
1,9,901,104,"Shot","Pass","Recovery",2,1,550,550,"Erie Otters","Sudbury Wolves","Erie Otters","Danial Singer",NA,184,37,NA,NA,"Wristshot","On Net",0,0,0,38,1,0,"ES","Close","ES",1,176,82,6,1,0,30,0,0,0.221848749616356,0,0,0,-47.7263109939063,-71.7829048021751,24.0565938082689,45.7055795281058,0.0470831435888735
1,9,902,112,"Shot","Pass","Whistle",1,1,566,566,"Sudbury Wolves","Erie Otters","Sudbury Wolves","Jack Thompson",NA,131,66,NA,NA,"Wristshot","On Net",0,0,1,9,-1,0,"ES","Close","ES",1,131,14,1,1,0,NA,0.0457574905606751,0,1,0,0,0,22.0564335270393,26.1685469219449,4.11211339490552,52,0.00727629183364643
1,12,1201,119,"Shot","Pass","Whistle",1,1,625,625,"Erie Otters","Sudbury Wolves","Erie Otters","Alex Gritz",NA,182,44,NA,NA,"Fan","On Net",0,1,1,2,1,0,"ES","Close","ES",1,185,65,0,1,0,NA,0.698970004336019,0,1,0,0,0,12.0947570770121,79.9194020124577,67.8246449354456,21.2132034355964,0.437671388272616
1,14,1401,123,"Shot","Pass","Recovery",1,1,669,669,"Sudbury Wolves","Erie Otters","Sudbury Wolves","Isaak Phillips",NA,170,31,NA,NA,"Wristshot","On Net",0,0,0,9,-1,0,"ES","Close","ES",1,168,71,1,1,0,NA,0.0457574905606751,0,1,0,0,0,-31.1849746587384,-53.6156481841641,22.4306735254257,40.0499687890016,0.0721749070784863
1,14,1401,126,"Shot","Pass","Recovery",2,1,675,675,"Sudbury Wolves","Erie Otters","Sudbury Wolves","Blake Murray",NA,171,49,NA,NA,"Wristshot","Blocked",1,0,0,15,-1,0,"ES","Close","ES",1,141,72,3,1,0,6,0,0.221848749616356,0.522878745280338,0,0,0,19.8552143693211,31.5741907502853,11.7189763809642,37.8021163428716,0.0410230893212451
1,14,1401,130,"Shot","Pass","Turnover",3,1,682,682,"Sudbury Wolves","Erie Otters","Sudbury Wolves","Jack Thompson",NA,142,77,NA,NA,"Wristshot","Blocked",0,0,0,22,-1,0,"ES","Close","ES",1,141,44,1,1,0,7,0,0.154901959985743,1,0,0,0,36.2802534937627,1.78991060824608,34.4903428855166,33.0151480384384,0.00762257714544744
1,14,1403,137,"Shot","Pass","Recovery",1,1,703,703,"Erie Otters","Sudbury Wolves","Erie Otters","Jack Duff",NA,163,51,NA,NA,"Wristshot","On Net",1,0,0,3,1,0,"ES","Close","ES",1,160,69,1,1,0,NA,0.522878745280338,0,1,0,0,0,18.1037630345066,42.4208524997166,24.31708946521,18.2482875908947,0.129933985891318
1,17,1702,172,"Shot","Pass","Recovery",1,1,880,880,"Sudbury Wolves","Erie Otters","Sudbury Wolves","Isaak Phillips",NA,181,41,NA,NA,"Snapshot","On Net",0,0,0,2,0,0,"ES","Close","ES",1,173,66,1,1,0,NA,0.698970004336019,0,1,0,0,0,-10.6196552761551,-55.7509669931881,45.131311717033,26.2488094968134,0.200016577359805
1,20,2001,201,"Shot","Pass","Turnover",1,1,1014,1014,"Erie Otters","Sudbury Wolves","Erie Otters","Danial Singer",NA,170,48,NA,NA,"Wristshot","Blocked",1,0,0,3,0,0,"ES","Close","ES",1,180,64,0,1,0,NA,0.522878745280338,0,1,0,0,0,16.1443387802835,67.2855876468328,51.1412488665493,18.8679622641132,0.178982668293079
1,20,2007,236,"Shot","Pass","Recovery",1,1,1131,1131,"Erie Otters","Sudbury Wolves","Erie Otters","Jacob Golden",NA,134,62,NA,NA,"Snapshot","On Net",1,0,0,21,0,0,"ES","Close","ES",1,171,10,2,1,0,NA,0,0,0.698970004336019,0,0,0,19.5217302759202,61.0202923020712,41.498562026151,63.8200595424354,0.00958308827792892
1,21,2101,261,"Shot","Pass","Recovery",1,2,1228,28,"Erie Otters","Sudbury Wolves","Erie Otters","Jamie Drysdale",NA,151,6,NA,NA,"Snapshot","On Net",1,1,0,8,0,0,"ES","Close","ES",1,131,33,1,1,0,NA,0.0969100130080565,0,1,0,0,0,-43.8465495488946,-9.30205471129885,34.5444948375958,33.6005952328229,0.0509782856795332
1,21,2101,268,"Shot","Pass","Recovery",2,2,1242,42,"Erie Otters","Sudbury Wolves","Erie Otters","Brendan Sellan",NA,130,63,NA,NA,"Wristshot","On Net",1,0,0,22,0,0,"ES","Close","ES",1,147,75,1,1,0,14,0,0,1,0,0,0,19.1601731219812,37.7330455941883,18.5728724722071,20.8086520466848,0.0133030001095435
1,21,2101,272,"Shot","Pass","Recovery",3,2,1247,47,"Erie Otters","Sudbury Wolves","Erie Otters","Hayden Fowler",NA,173,33,NA,NA,"Wristshot","Blocked",0,0,0,27,0,0,"ES","Close","ES",1,191,26,1,1,0,5,0,0.301029995663981,1,0,0,1,-30.6997225508144,-96.9112271190247,66.2115045682103,19.313207915828,0.0234496844843609
1,22,2202,280,"Shot","Pass","Turnover",1,2,1285,85,"Sudbury Wolves","Erie Otters","Sudbury Wolves","Jack Thompson",NA,126,69,NA,NA,"Wristshot","Blocked",1,0,0,9,0,0,"ES","Close","ES",1,180,78,1,1,0,NA,0.0457574905606751,0,1,0,0,0,22.813322106552,75.7740361012482,52.9607139946962,54.744862772684,0.0128734091566261
1,22,2206,288,"Shot","Pass","Whistle",1,2,1337,137,"Erie Otters","Sudbury Wolves","Erie Otters","Maxim Golod",NA,182,45,NA,NA,"Snapshot","On Net",0,0,1,4,0,0,"ES","Close","ES",1,158,29,1,1,0,NA,0.397940008672038,0,1,0,0,0,19.6538240580533,23.532348560901,3.87852450284769,28.8444102037119,0.160224832084852
1,23,2301,294,"Shot","Pass","Whistle",1,2,1360,160,"Erie Otters","Sudbury Wolves","Erie Otters","Jacob Golden",NA,138,48,NA,NA,"Wristshot","On Net",1,0,1,9,0,0,"ES","Close","ES",1,144,60,1,1,0,NA,0.0457574905606751,0,1,0,0,0,6.15516834327404,21.2505055071332,15.0953371638592,13.4164078649987,0.0258483234964404
1,25,2501,305,"Shot","Pass","Recovery",1,2,1424,224,"Erie Otters","Sudbury Wolves","Erie Otters","Brendan Sellan",NA,177,60,NA,NA,"Wristshot","Missed",1,0,0,9,0,0,"ES","Close","ES",1,168,68,3,1,0,NA,0.0457574905606751,0,0.522878745280338,0,0,0,55.5610106911964,50.5275401516562,5.03347053954021,12.0415945787923,0.0382027456153244
1,25,2502,314,"Shot","Pass","Recovery",1,2,1440,240,"Sudbury Wolves","Erie Otters","Sudbury Wolves","Chase Stillman",NA,182,53,NA,NA,"Snapshot","On Net",0,1,0,6,0,0,"ES","Close","ES",1,195,53,0,1,0,NA,0.221848749616356,0,1,0,0,1,56.3099324740202,119.744881296942,63.434948822922,13,0.0643737470722863
1,25,2505,328,"Shot","Pass","Recovery",1,2,1484,284,"Erie Otters","Sudbury Wolves","Erie Otters","Emmett Sproule",NA,178,50,NA,NA,"Fan","On Net",0,0,0,7,0,0,"ES","Close","ES",1,159,63,2,1,0,NA,0.154901959985743,0,0.698970004336019,0,0,0,34.286876977209,34.3460974000615,0.0592204228525475,23.0217288664427,0.0395227896709585
1,28,2805,364,"Shot","Pass","Turnover",1,2,1701,501,"Erie Otters","Sudbury Wolves","Erie Otters","Luke Beamish",NA,131,20,NA,NA,"Slapshot","On Net",1,1,0,8,0,0,"ES","Close","ES",1,181,15,1,1,0,NA,0.0969100130080565,0,1,0,0,0,-21.2028186438097,-73.7798063043972,52.5769876605875,50.2493781056044,0.0301245163758679
1,28,2806,368,"Shot","Pass","Recovery",1,2,1721,521,"Erie Otters","Sudbury Wolves","Erie Otters","Luke Beamish",NA,150,25,NA,NA,"Wristshot","On Net",0,0,0,2,0,0,"ES","Close","ES",1,149,14,0,1,0,NA,0.698970004336019,0,1,0,0,0,-24.1666298429855,-35.4698721674001,11.3032423244146,11.0453610171873,0.0429300480522193
1,29,2902,376,"Shot","Pass","Whistle",1,2,1756,556,"Sudbury Wolves","Erie Otters","Sudbury Wolves","Owen Gilhula",NA,168,63,NA,NA,"Wristshot","On Net",1,0,1,4,0,0,"ES","Close","ES",1,136,8,3,1,0,NA,0.397940008672038,0,0.522878745280338,0,0,0,44.3097228021349,33.0618495054952,11.2478732966398,63.6317530797321,0.0341415626194524
1,30,3001,381,"Shot","Pass","Turnover",1,2,1775,575,"Erie Otters","Sudbury Wolves","Erie Otters","Jamie Drysdale",NA,134,67,NA,NA,"Slapshot","On Net",1,0,0,8,0,0,"ES","Close","ES",1,129,3,2,1,0,NA,0.0969100130080565,0,0.698970004336019,0,0,0,24.0107990638996,33.358242397043,9.34744333314335,64.1950153828161,0.00681415364278547
1,34,3401,420,"Shot","Pass","Turnover",1,2,2061,861,"Erie Otters","Sudbury Wolves","Erie Otters","Kurtis Henry",NA,136,50,NA,NA,"Wristshot","Blocked",1,0,0,13,0,0,"ES","Close","ES",1,130,41,2,1,0,NA,0,0,0.698970004336019,0,0,0,8.05441444638177,1.45635863433967,6.5980558120421,10.816653826392,0.012935120474789
1,35,3504,453,"Shot","Pass","Recovery",3,2,2159,959,"Sudbury Wolves","Erie Otters","Sudbury Wolves","Owen Gilhula",NA,167,45,NA,NA,"Wristshot","Missed",0,0,0,14,0,0,"ES","Close","ES",1,176,32,1,1,0,3,0,0.522878745280338,1,0,0,0,6.48307369289732,38.9275435927923,32.444469899895,15.8113883008419,0.0527256545933072
1,35,3504,458,"Shot","Pass","Recovery",4,2,2169,969,"Sudbury Wolves","Erie Otters","Sudbury Wolves","Blake Murray",NA,175,54,NA,NA,"Wristshot","On Net",0,0,0,24,0,0,"ES","Close","ES",1,127,75,1,1,0,10,0,0,1,0,0,0,39.4006606634794,27.663238327818,11.7374223356614,52.3927475897189,0.0549783425481137
1,35,3505,469,"Shot","Pass","Recovery",1,2,2202,1002,"Erie Otters","Sudbury Wolves","Erie Otters","Daniel D'Amato",NA,182,43,NA,NA,"Fan","Missed",0,0,0,26,0,0,"ES","Close","ES",1,196,68,7,1,0,NA,0,0,0.154901959985743,0,0,1,4.08561677997489,105.350136492424,101.26451971245,28.6530975637888,0.0145524596117878
1,35,3505,472,"Shot","Pass","Recovery",2,2,2204,1004,"Erie Otters","Sudbury Wolves","Erie Otters","Kurtis Henry",NA,142,14,NA,NA,"Snapshot","On Net",0,1,0,28,0,0,"ES","Close","ES",1,172,15,0,1,0,2,0,0.698970004336019,1,0,0,0,-31.231909548517,-58.276397042316,27.044487493799,30.0166620396073,0.00985423222840052
1,35,3507,482,"Goal","Pass",NA,0,2,2236,1036,"Sudbury Wolves","Erie Otters","Sudbury Wolves","Quinton Byfield",NA,170,39,NA,NA,"Wristshot","On Net",1,0,1,3,0,0,"ES","Close","ES",1,160,67,1,1,0,NA,0.522878745280338,0,1,0,1,0,-10.4374753511182,-40.1920460369695,29.7545706858514,29.732137494637,0.160844582837755
1,37,3701,503,"Shot","Pass","Turnover",1,2,2332,1132,"Erie Otters","Sudbury Wolves","Erie Otters","Brendan Kischnick",NA,135,71,NA,NA,"Wristshot","Blocked",1,0,0,8,-1,0,"ES","Close","ES",1,178,83,2,1,0,NA,0.0969100130080565,0,0.698970004336019,0,0,0,27.8240963842533,74.8047514731801,46.9806550889269,44.6430285710994,0.00906380564736758
1,37,3701,511,"Shot","Pass","Turnover",2,2,2349,1149,"Erie Otters","Sudbury Wolves","Erie Otters","Brendan Hoffmann",NA,140,36,NA,NA,"Wristshot","Blocked",1,0,0,25,-1,0,"ES","Close","ES",1,131,4,3,1,0,17,0,0,0.522878745280338,0,0,0,-7.55634405643944,-33.5759326579989,26.0195886015595,33.2415402771893,0.0306102001812338
1,43,4305,542,"Shot","Pass","Recovery",1,3,2538,138,"Erie Otters","Sudbury Wolves","Erie Otters","Kurtis Henry",NA,136,15,NA,NA,"Snapshot","Missed",1,1,0,7,-1,0,"ES","Close","ES",1,187,12,1,1,0,NA,0.154901959985743,0,1,0,0,0,-27.4233507071095,-86.248270929474,58.8249202223645,51.0881590977792,0.0255794617135568
1,46,4603,595,"Shot","Pass","Turnover",1,3,2732,332,"Sudbury Wolves","Erie Otters","Sudbury Wolves","Quinton Byfield",NA,159,12,NA,NA,"Slapshot","Blocked",0,0,0,33,1,0,"ES","Close","ES",1,132,22,2,1,0,NA,0,0,0.698970004336019,0,0,0,-45.4735080587349,-19.7810771070351,25.6924309516999,28.7923600977759,0.00979560860773554
1,47,4705,627,"Shot","Pass","Recovery",1,3,2853,453,"Erie Otters","Sudbury Wolves","Erie Otters","Jack Duff",NA,148,61,NA,NA,"Snapshot","On Net",1,1,0,6,-1,0,"ES","Close","ES",1,146,28,1,1,0,NA,0.221848749616356,0,1,0,0,0,24.2858251556513,18.6345848774464,5.6512402782049,33.0605505096331,0.0612505688317247
1,50,5001,639,"Shot","Pass","Recovery",1,3,2974,574,"Erie Otters","Sudbury Wolves","Erie Otters","Brendan Sellan",NA,166,56,NA,NA,"Wristshot","Missed",1,0,0,5,0,0,"ES","Close","ES",1,185,79,1,1,0,NA,0.301029995663981,0,1,0,0,0,30.4110812671254,83.7459672560835,53.3348859889581,29.8328677803526,0.102695855756188
1,52,5202,671,"Shot","Pass","Whistle",3,3,3085,685,"Erie Otters","Sudbury Wolves","Erie Otters","Maxim Golod",NA,161,62,NA,NA,"Wristshot","On Net",0,0,1,32,0,0,"ES","Close","ES",1,167,75,0,1,0,6,0,0.221848749616356,1,0,0,0,34.8544555661037,55.9050220452345,21.0505664791308,14.3178210632764,0.025799258261505
1,53,5301,676,"Shot","Pass","Recovery",1,3,3112,712,"Erie Otters","Sudbury Wolves","Erie Otters","Brendan Kischnick",NA,140,79,NA,NA,"Wristshot","Missed",1,0,0,11,0,0,"ES","Close","ES",1,170,82,2,1,0,NA,0,0,0.698970004336019,0,0,0,36.6823507558936,64.3118565643527,27.6295058084591,30.1496268633627,0.00677729902883449
1,53,5304,701,"Goal","Pass",NA,0,3,3174,774,"Erie Otters","Sudbury Wolves","Erie Otters","Daniel D'Amato",NA,173,40,NA,NA,"Snapshot","On Net",0,1,1,2,0,0,"ES","Close","ES",1,164,59,0,1,0,NA,0.698970004336019,0,1,0,1,0,-8.88065915052023,-33.4248111826038,24.5441520320836,21.0237960416286,0.203450885199814
1,55,5501,705,"Shot","Pass","Recovery",1,3,3216,816,"Erie Otters","Sudbury Wolves","Erie Otters","Jacob Golden",NA,173,51,NA,NA,"Snapshot","Blocked",1,0,0,4,1,0,"ES","Close","ES",1,138,72,2,1,0,NA,0.397940008672038,0,0.698970004336019,0,0,0,27.9794743884801,30.0464352468105,2.06696085833035,40.8166632639171,0.0679234195223451
1,56,5602,718,"Shot","Pass","Whistle",1,3,3249,849,"Erie Otters","Sudbury Wolves","Erie Otters","Kurtis Henry",NA,131,11,NA,NA,"Wristshot","On Net",1,0,1,7,2,0,"ES","Close","ES",1,179,11,2,1,0,NA,0.154901959985743,0,0.698970004336019,0,0,0,-28.5065375679924,-72.3874221570762,43.8808845890838,48,0.00411998313456252
1,57,5701,724,"Shot","Pass","Turnover",1,3,3271,871,"Erie Otters","Sudbury Wolves","Erie Otters","Austen Swankler",NA,158,78,NA,NA,"Wristshot","Missed",0,0,0,12,2,0,"ES","Close","ES",1,151,82,6,1,0,NA,0,0,0.221848749616356,0,0,0,48.8712562319856,46.1088121277599,2.7624441042257,8.06225774829855,0.00287765978621005
1,57,5703,737,"Shot","Pass","Turnover",1,3,3313,913,"Erie Otters","Sudbury Wolves","Erie Otters","Elias Cohen",NA,180,47,NA,NA,"Wristshot","On Net",0,0,0,3,2,0,"ES","Close","ES",1,147,79,2,1,0,NA,0.522878745280338,0,0.698970004336019,0,0,0,26.565051177078,40.9921954576277,14.4271442805497,45.9673797382448,0.0725339084253965
1,58,5809,787,"Shot","Pass","Whistle",1,3,3531,1131,"Erie Otters","Sudbury Wolves","Erie Otters","Kurtis Henry",NA,162,17,NA,NA,"Snapshot","On Net",0,0,1,5,3,0,"ES","Close","ES",1,159,76,1,1,0,NA,0.301029995663981,0,1,0,0,0,-43.3634229583833,-48.154842864792,4.79141990640869,59.0762219509677,0.0188219339951847
2,61,6102,795,"Shot","Pass","Recovery",1,1,70,70,"Erie Otters","Hamilton Bulldogs","Erie Otters","Jack Duff",NA,137,4,NA,NA,"Snapshot","Missed",1,1,0,13,0,0,"ES","Close","ES",1,190,9,1,1,0,NA,0,0,1,0,0,1,-36.5156778650296,-91.7098140441415,55.1941361791119,53.2353266168247,0.00544422345744315
2,61,6104,803,"Shot","Pass","Recovery",1,1,104,104,"Hamilton Bulldogs","Erie Otters","Hamilton Bulldogs","Lawson Sherk",NA,161,50,NA,NA,"Snapshot","On Net",0,1,0,2,0,0,"ES","Close","ES",1,157,5,1,1,0,NA,0.698970004336019,0,1,0,0,0,14.995079129176,49.5247684728342,34.5296893436582,45.1774279923061,0.209678621305346
2,61,6113,834,"Shot","Pass","Turnover",1,1,246,246,"Erie Otters","Hamilton Bulldogs","Erie Otters","Austen Swankler",NA,179,38,NA,NA,"Fan","On Net",0,0,0,3,0,0,"ES","Close","ES",1,170,77,1,1,0,NA,0.522878745280338,0,1,0,0,0,-24.2277453179542,-61.1573398645879,36.9295945466338,40.024992192379,0.130099941629426
2,61,6117,846,"Shot","Pass","Recovery",1,1,330,330,"Hamilton Bulldogs","Erie Otters","Hamilton Bulldogs","Ryan Winterton",NA,171,79,NA,NA,"Snapshot","On Net",0,1,0,3,0,0,"ES","Close","ES",1,141,6,2,1,0,NA,0.522878745280338,0,0.698970004336019,0,0,0,63.7497576303111,37.2499635770807,26.4997940532304,78.9240140895026,0.0277694553212524
2,62,6204,880,"Shot","Pass","Recovery",1,1,445,445,"Erie Otters","Hamilton Bulldogs","Erie Otters","Brendan Kischnick",NA,135,35,NA,NA,"Wristshot","On Net",1,0,0,16,1,0,"ES","Close","ES",1,146,6,1,1,0,NA,0,0,1,0,0,0,-7.90716270295846,-40.3258362888692,32.4186735859108,31.0161248385416,0.0470249405652189
